yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 003 01 03  58121     33.7439688099380   4.210078E-013     29.6349254479363        -369741.19608      20.5276         5.5 
nGRPmax
    534
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
  225   225    1285061  43363.104183  58121.5018877798910     6.57     6.57          1      0.40369  115346.188219   42826.188220
  226   226    1285378  43373.801092  58121.5020115867140    11.07    21.77          4      0.40561  115356.885470   42836.885470
  227   227    1285542  43379.334960  58121.5020756361090    20.08    21.62          2      0.40131  115402.419515   42842.419515
  228   228    1288188  43468.621484  58121.5031090449540    12.30    12.30          1      0.39933  115531.708885   42931.708885
  229   229    1288211  43469.397974  58121.5031180321150     5.58     5.81          2      0.41056  115532.485399   42932.485400
  230   230    1288455  43477.631311  58121.5032133253500    39.25    43.99          2      0.40478  115540.718999   42940.719000
  231   231    1298289  43809.469509  58121.5070540452480    15.86    18.99          2      0.39967  120112.567784   43272.567785
  232   232    1299966  43866.058273  58121.5077090077950     6.91     8.35          2      0.40256  120209.158354   43329.158355
  233   233    1306342  44081.209937  58121.5101991890820    10.15    11.98          2      0.40256  120544.316890   43544.316890
  234   234    1310759  44230.256859  58121.5119242691970     5.88    10.95          3      0.39456  120813.368575   43693.368575
  235   235    1312314  44282.729007  58121.5125315857280     6.34    12.53          3      0.40189  120905.842400   43745.842400
  236   236    1314151  44344.716930  58121.5132490385410     7.37    12.63          3      0.40836  121007.832305   43807.832305
  237   237    1314303  44349.845716  58121.5133083994880    75.26    83.71          2      0.39947  121012.961255   43812.961255
  238   238    1315157  44378.663095  58121.5136419339650     6.16     6.16          1      0.39986  121041.779555   43841.779555
  239   239    1318845  44503.111305  58121.5150823067780     5.56     6.91          2      0.41125  121246.231744   43966.231745
  240   240    1320585  44561.825761  58121.5157618722430    21.98    24.79          2      0.40881  121344.948080   44024.948080
  241   241    1322524  44627.255258  58121.5165191580800     8.87    11.06          2      0.40600  121450.379670   44090.379670
  242   242    1322538  44627.727568  58121.5165246246270    18.91    21.56          2      0.40286  121450.851994   44090.851995
  243   243    1323013  44643.756140  58121.5167101405060    10.67    15.68          3      0.40811  121506.881079   44106.881080
  244   244    1327876  44807.852922  58121.5186094088190     5.73     5.73          1      0.40131  121750.983115   44270.983115
  245   245    1332155  44952.243613  58121.5202805973760     9.94    16.31          4      0.40628  122015.378429   44415.378430
  246   246    1332400  44960.510763  58121.5203762819840     8.05     8.05          1      0.40253  122023.645844   44423.645845
  247   247    1335317  45058.942099  58121.5215155335550     5.53     8.36          2      0.40619  122202.080334   44522.080335
  248   248    1335548  45066.736884  58121.5216057509760     7.10     8.23          2      0.40394  122209.875370   44529.875370
  249   249    1337216  45123.021706  58121.5222571956740     5.91     6.60          2      0.39947  122306.161995   44586.161995
  250   250    1338217  45156.799558  58121.5226481430270    38.40    47.23          3      0.40306  122339.940929   44619.940930
  251   251    1339755  45208.698019  58121.5232488196610    12.01    12.01          1      0.40922  122431.841054   44671.841055
  252   252    1339758  45208.799096  58121.5232499895300     8.07    10.61          2      0.40461  122431.942134   44671.942135
