yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 003 01 03  58121     33.7439688099380   4.210078E-013     29.6349254479363        -369741.19608      20.5276         5.5 
nGRPmax
   7961
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
  242   242    1002056  33813.373897  58121.3913584941820    79.51    96.87          4     -0.00514   91436.157435   33276.157435
  243   243    1002208  33818.503127  58121.3914178602620     8.84    10.97          2     -0.00083   91441.286825   33281.286825
  244   244    1002229  33819.211800  58121.3914260625020    68.78    79.10          3      0.00061   91441.995519   33281.995520
  245   245    1002241  33819.616792  58121.3914307499010    10.82    24.23          5      0.00253   91442.400524   33282.400525
  246   246    1002370  33823.969587  58121.3914811294850     6.07    11.92          3     -0.00278   91446.753454   33286.753455
  247   247    1002380  33824.307166  58121.3914850366460    20.42    26.74          3      0.00136   91447.091045   33287.091045
  248   248    1002500  33828.356405  58121.3915319028350     9.08    12.02          2      0.00019   91451.140409   33291.140410
  249   249    1002533  33829.469971  58121.3915447913340    27.21    36.18          5      0.00061   91452.254009   33292.254010
  250   250    1002598  33831.663557  58121.3915701800580     9.89     9.89          1      0.00736   91454.447664   33294.447665
  251   251    1002654  33833.552869  58121.3915920470910     8.14     8.14          1     -0.00306   91456.337034   33296.337035
  252   252    1002918  33842.461501  58121.3916951562620    65.19    93.15          5      0.00350   91505.245945   33305.245945
  253   253    1003004  33845.363286  58121.3917287417340    15.35    16.57          2     -0.00236   91508.147819   33308.147820
  254   254    1003044  33846.713029  58121.3917443637630    22.77    25.01          2     -0.00286   91509.497604   33309.497605
  255   255    1003046  33846.780702  58121.3917451470080    15.32    19.91          3      0.00264   91509.565280   33309.565280
  256   256    1003052  33846.982891  58121.3917474871680    14.49    14.49          1     -0.00553   91509.767475   33309.767475
  257   257    1003186  33851.504870  58121.3917998248830     7.89    14.70          4      0.00294   91514.289595   33314.289595
  258   258    1003198  33851.909682  58121.3918045102080    13.71    16.55          2     -0.00047   91514.694419   33314.694420
  259   259    1003409  33859.029771  58121.3918869186430    11.22    19.66          4      0.00272   91521.814729   33321.814730
  260   260    1003564  33864.260068  58121.3919474544900    36.16    42.10          2      0.00211   91527.045189   33327.045190
  261   261    1003591  33865.171109  58121.3919579989500     8.14     8.89          2      0.00075   91527.956259   33327.956260
