yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2017 221 08 09  57974     33.7386455638600   4.196976E-013     29.6396012136058        -368706.86500       5.4986         0.00 
nGRPmax
   7372
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
  136   136    1799711  60719.839997  57974.7027759258880     7.36    11.44          3      0.00058  165552.602935   60952.602935
  137   137    1799712  60719.873659  57974.7027763154940     8.57    12.86          3     -0.00167  165552.636595   60952.636595
  138   138    1799727  60720.379930  57974.7027821751170    10.59    22.99          5      0.00397  165553.142825   60953.142825
  139   139    1799831  60723.888645  57974.7028227852420     6.44     8.98          2      0.00097  165556.651259   60956.651260
  140   140    1799853  60724.630654  57974.7028313733120     9.76    13.25          3     -0.00617  165557.393210   60957.393210
  141   141    1799959  60728.206995  57974.7028727661440     7.19    11.52          2     -0.00511  165600.969264   60960.969265
  142   142    1800204  60736.473196  57974.7029684397700     6.19    13.79          4      0.00161  165609.234805   60969.234805
  143   143    1800439  60744.401699  57974.7030602048510    11.89    22.18          3     -0.00089  165617.162674   60977.162675
  144   144    1800456  60744.975355  57974.7030668443900    38.59    46.84          3      0.00203  165617.736284   60977.736285
  145   145    1800466  60745.312582  57974.7030707474820     6.50     8.17          2     -0.00272  165618.073485   60978.073485
  146   146    1800551  60748.180196  57974.7031039374590     9.15    12.09          2     -0.00769  165620.940869   60980.940870
  147   147    1800657  60751.756782  57974.7031453331200    22.20    41.72          4      0.00081  165624.517169   60984.517170
  148   148    1800681  60752.566491  57974.7031547047550     8.55    12.55          2      0.00011  165625.326815   60985.326815
  149   149    1800689  60752.836278  57974.7031578272900     5.60     6.10          2     -0.00336  165625.596579   60985.596580
  150   150    1800783  60756.007906  57974.7031945359490     7.25    16.92          4      0.00219  165628.767955   60988.767955
  151   151    1800817  60757.155068  57974.7032078132860    10.48    12.37          2      0.00358  165629.915025   60989.915025
  152   152    1800835  60757.762176  57974.7032148400000    17.00    29.35          4     -0.00197  165630.522084   60990.522085
  153   153    1800848  60758.200982  57974.7032199187710     8.11     8.11          1      0.00403  165630.960854   60990.960855
  154   154    1800962  60762.047119  57974.7032644342530     7.18    18.12          5      0.00192  165634.806685   60994.806685
  155   155    1801344  60774.935194  57974.7034136017790     8.59     9.95          2     -0.00083  165647.693729   61007.693730
  156   156    1801642  60784.989387  57974.7035299697540    26.04    54.64          7      0.00122  165657.747119   61017.747120
  157   157    1801643  60785.023120  57974.7035303601920    13.90    30.06          4      0.00106  165657.780850   61017.780850
  158   158    1801658  60785.529250  57974.7035362181760    13.10    22.79          3      0.00256  165658.286939   61018.286940
  159   159    1801780  60789.645244  57974.7035838569980    31.32    53.05          6     -0.00128  165702.402605   61022.402605
  160   160    1801829  60791.298376  57974.7036029904640     8.29    10.96          2     -0.00314  165704.055605   61024.055605
  161   161    1802011  60797.438977  57974.7036740622340    10.93    15.17          3      0.00167  165710.195715   61030.195715
