yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 313 11 09  58431     33.7552247881230   4.200554E-013     29.6250434199999        -368658.79077      13.8631         5.00 
nGRPmax
   1390
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
  111   111    1444525  48760.294779  58431.5643552636420     6.05    13.49          4      0.00133  132454.251270   48294.251270
  112   112    1444956  48774.843345  58431.5645236498180     6.03    10.52          3      0.00269  132508.798954   48308.798955
  113   113    1446002  48810.151118  58431.5649323046140     8.34     8.34          1     -0.00336  132544.104590   48344.104590
  114   114    1446219  48817.476217  58431.5650170858370     6.05    10.97          3      0.00261  132551.429244   48351.429245
  115   115    1446396  48823.450694  58431.5650862348800     5.27     6.14          2     -0.00308  132557.403359   48357.403360
  116   116    1446503  48827.062673  58431.5651280401920     6.38     6.38          1      0.00186  132601.015119   48361.015120
  117   117    1446570  48829.324355  58431.5651542170750    10.39    14.05          3      0.00397  132603.276664   48363.276665
  118   118    1446773  48836.176534  58431.5652335246980     5.88     9.13          3      0.00025  132610.128429   48370.128430
  119   119    1447238  48851.872570  58431.5654151917820     5.05     9.14          3     -0.00456  132625.823514   48385.823515
  120   120    1448069  48879.923389  58431.5657398540420     5.49    10.62          3      0.00164  132653.872634   48413.872635
  121   121    1448450  48892.784102  58431.5658887048830     8.44     8.92          2      0.00089  132706.732570   48426.732570
  122   122    1448674  48900.345240  58431.5659762180610    12.52    21.42          3     -0.00019  132714.293250   48434.293250
  123   123    1449003  48911.450613  58431.5661047524610    43.16    51.29          3     -0.00325  132725.397949   48445.397950
  124   124    1449241  48919.484429  58431.5661977364480     6.83     7.11          2     -0.00125  132733.431279   48453.431280
  125   125    1449507  48928.463333  58431.5663016589440    15.38    17.84          2     -0.00100  132742.409639   48462.409640
  126   126    1450108  48948.750301  58431.5665364618240    15.50    18.66          2      0.00097  132802.695379   48482.695380
  127   127    1450131  48949.526668  58431.5665454475520     5.54     7.69          2      0.00086  132803.471700   48483.471700
  128   128    1450297  48955.129903  58431.5666102998020    11.87    11.87          1     -0.00347  132809.074594   48489.074595
  129   129    1450467  48960.868435  58431.5666767180030    15.21    17.68          2      0.00097  132814.812780   48494.812780
  130   130    1450539  48963.298757  58431.5667048467200    10.28    11.31          2     -0.00094  132817.242955   48497.242955
  131   131    1450625  48966.201668  58431.5667384452350     9.07    11.19          2     -0.00186  132820.145689   48500.145690
  132   132    1450682  48968.125575  58431.5667607126780     7.66    10.07          2     -0.00608  132822.069479   48502.069480
  133   133    1450818  48972.716367  58431.5668138468350    10.08    12.18          2     -0.00400  132826.659995   48506.659995
  134   134    1450864  48974.268996  58431.5668318170880    13.30    17.13          2     -0.00706  132828.212529   48508.212530
  135   135    1450895  48975.315470  58431.5668439290500     5.30     9.78          3     -0.00525  132829.258939   48509.258940
  136   136    1451304  48989.121546  58431.5670037216000     9.27    13.84          3      0.00011  132843.064180   48523.064180
  137   137    1451503  48995.839003  58431.5670814699390     5.17     7.36          2      0.00494  132849.781230   48529.781230
  138   138    1451518  48996.345083  58431.5670873273470     5.44     5.44          1     -0.00242  132850.287279   48530.287280
  139   139    1451627  49000.024591  58431.5671299142530    61.60    65.61          2      0.00281  132853.966565   48533.966565
  140   140    1451644  49000.598296  58431.5671365543550     8.20     8.20          1     -0.00117  132854.540235   48534.540235
  141   141    1452072  49015.045675  58431.5673037693820     7.41    10.47          3      0.00311  132908.986740   48548.986740
